Symbol,Leg-In Time,Leg-Out Time,Zone High,Zone Low,Status,Higher Timeframe Leg-In Time,Higher Timeframe Leg-Out Time,Higher Timeframe Zone High,Higher Timeframe Zone Low
RELIANCE.NS,2023-04-26 00:00:00,2023-04-28 00:00:00,2200.43115234375,2181.97119140625,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,2238.22802734375,2262.272216796875
RELIANCE.NS,2023-05-04 00:00:00,2023-05-08 00:00:00,2271.8251953125,2248.42724609375,Tested,2023-04-01 00:00:00,2023-06-01 00:00:00,2238.22802734375,2262.272216796875
RELIANCE.NS,2023-05-22 00:00:00,2023-05-26 00:00:00,2277.963134765625,2230.013427734375,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,2238.22802734375,2262.272216796875
ICICIBANK.NS,2023-02-08 00:00:00,2023-02-14 00:00:00,864.9000244140625,849.3499755859375,Tested,2023-01-01 00:00:00,2023-04-01 00:00:00,907.9000244140625,864.4000244140625
ICICIBANK.NS,2023-02-22 00:00:00,2023-02-27 00:00:00,845.5999755859375,833.5499877929688,Tested,2023-01-01 00:00:00,2023-04-01 00:00:00,907.9000244140625,864.4000244140625
ICICIBANK.NS,2023-03-01 00:00:00,2023-03-03 00:00:00,861.8499755859375,851.0999755859375,Tested,2023-01-01 00:00:00,2023-04-01 00:00:00,907.9000244140625,864.4000244140625
ICICIBANK.NS,2023-03-27 00:00:00,2023-03-31 00:00:00,862.0999755859375,848.0,Fresh,2023-01-01 00:00:00,2023-04-01 00:00:00,907.9000244140625,864.4000244140625
KOTAKBANK.NS,2023-02-08 00:00:00,2023-02-15 00:00:00,1784.449951171875,1747.949951171875,Tested,2023-01-01 00:00:00,2023-04-01 00:00:00,1836.5,1733.199951171875
KOTAKBANK.NS,2023-02-27 00:00:00,2023-03-01 00:00:00,1741.4000244140625,1721.6500244140625,Tested,2023-01-01 00:00:00,2023-04-01 00:00:00,1836.5,1733.199951171875
KOTAKBANK.NS,2023-03-23 00:00:00,2023-03-29 00:00:00,1712.8499755859375,1675.0,Fresh,2023-01-01 00:00:00,2023-04-01 00:00:00,1836.5,1733.199951171875
KOTAKBANK.NS,2023-09-07 00:00:00,2023-09-13 00:00:00,1819.0,1781.550048828125,Tested,2023-08-01 00:00:00,2023-12-01 00:00:00,1865.75,1748.25
BHARTIARTL.NS,2023-03-28 00:00:00,2023-09-01 00:00:00,754.9000244140625,738.8499755859375,Fresh,N/A,N/A,N/A,N/A
BHARTIARTL.NS,2023-09-01 00:00:00,2023-09-06 00:00:00,869.4500122070312,858.4000244140625,Fresh,2023-09-01 00:00:00,2023-11-01 00:00:00,948.7000122070312,895.4500122070312
